TABLEU,C1_AGE,C1_RANKING,C1_HANDNESS,C1_WEAPON,C2_AGE,C2_RANKING,C2_HANDNESS,C2_WEAPON,WINNER
8,18,196,1.0,1.0,31,22,0.0,1.0,1.0
8,34,97,0.0,1.0,18,117,1.0,1.0,1.0
8,30,150,1.0,1.0,26,53,0.0,1.0,1.0
4,26,124,0.0,1.0,31,22,0.0,1.0,1.0
4,18,117,1.0,1.0,26,53,0.0,1.0,0.0
2,31,22,0.0,1.0,18,117,1.0,1.0,0.0
32,26,43,0.0,2.0,21,436,0.0,2.0,0.0
32,26,218,0.0,2.0,22,321,0.0,2.0,1.0
32,28,126,0.0,2.0,23,193,0.0,2.0,0.0
32,27,416,0.0,2.0,26,28,0.0,2.0,1.0
32,24,9,1.0,2.0,20,420,0.0,2.0,0.0
32,24,362,1.0,2.0,42,287,0.0,2.0,0.0
32,22,172,0.0,2.0,21,107,0.0,2.0,1.0
32,19,399,0.0,2.0,19,165,1.0,2.0,1.0
32,33,25,0.0,2.0,28,430,1.0,2.0,0.0
32,20,407,0.0,2.0,18,349,0.0,2.0,1.0
32,42,384,0.0,2.0,25,250,0.0,2.0,1.0
32,22,274,0.0,2.0,30,375,0.0,2.0,0.0
32,23,160,0.0,2.0,33,210,0.0,2.0,0.0
32,17,371,0.0,2.0,22,209,0.0,2.0,0.0
32,17,354,1.0,2.0,22,403,0.0,2.0,0.0
32,23,137,0.0,2.0,38,68,1.0,2.0,1.0
16,26,43,0.0,2.0,22,321,0.0,2.0,0.0
16,28,126,0.0,2.0,26,28,0.0,2.0,1.0
16,24,9,1.0,2.0,24,362,1.0,2.0,0.0
16,21,107,0.0,2.0,19,165,1.0,2.0,0.0
16,33,25,0.0,2.0,18,349,0.0,2.0,0.0
16,25,250,0.0,2.0,22,274,0.0,2.0,1.0
16,23,160,0.0,2.0,17,371,0.0,2.0,0.0
16,17,354,1.0,2.0,38,68,1.0,2.0,1.0
8,26,43,0.0,2.0,26,28,0.0,2.0,1.0
8,24,9,1.0,2.0,21,107,0.0,2.0,1.0
8,33,25,0.0,2.0,22,274,0.0,2.0,0.0
8,23,160,0.0,2.0,38,68,1.0,2.0,1.0
4,26,28,0.0,2.0,21,107,0.0,2.0,0.0
4,33,25,0.0,2.0,38,68,1.0,2.0,1.0
2,26,28,0.0,2.0,38,68,1.0,2.0,0.0
16,28,31,0.0,0.0,25,302,0.0,0.0,0.0
16,23,285,0.0,0.0,17,231,0.0,0.0,1.0
16,29,24,0.0,0.0,20,260,0.0,0.0,0.0
